id,scientificName,decimalLongitude,decimalLatitude
GBIF,Quercus cedrosensis,-118.494859,34.174779
GBIF,Quercus cedrosensis,-116.9833,32.9333
GBIF,Quercus cedrosensis,-116.961969,32.476377
GBIF,Quercus cedrosensis,-116.903104,32.46984
SEINET,Quercus cedrosensis,-116.866667,32.1
SEINET,Quercus cedrosensis,-116.859396,32.556221
GBIF,Quercus cedrosensis,-116.859396,32.556221
GBIF,Quercus cedrosensis,-116.85872,32.55847
GBIF,Quercus cedrosensis,-116.857861,32.490399
GBIF,Quercus cedrosensis,-116.85444,32.54611
SEINET,Quercus cedrosensis,-116.8525,32.55831
SEINET,Quercus cedrosensis,-116.8525,32.55833
GBIF,Quercus cedrosensis,-116.8525,32.55833
GBIF,Quercus cedrosensis,-116.8525,32.55831
GBIF,Quercus cedrosensis,-116.8525,32.55833
SEINET,Quercus cedrosensis,-116.85,32.533333
GBIF,Quercus cedrosensis,-116.84167,32.4
GBIF,Quercus cedrosensis,-116.84138,32.56023
SEINET,Quercus cedrosensis,-116.8333333,31.9833333
SEINET,Quercus cedrosensis,-116.8333333,32.4166667
GBIF,Quercus cedrosensis,-116.833333,31.983333
GBIF,Quercus cedrosensis,-116.833333,32.416667
GBIF,Quercus cedrosensis C.H. Mull.,-116.833333,31.983333
GBIF,Quercus cedrosensis,-116.8333,31.98333
GBIF,Quercus cedrosensis,-116.833,32.4167
GBIF,Quercus cedrosensis,-116.831003,32.412938
GBIF,Quercus cedrosensis,-116.83,32.42
SEINET,Quercus cedrosensis,-116.82917,32.56083
GBIF,Quercus cedrosensis,-116.82917,32.56083
GBIF,Quercus cedrosensis,-116.82917,32.56083
GBIF,Quercus cedrosensis,-116.829167,32.560833
SEINET,Quercus cedrosensis,-116.8291667,32.5608333
GBIF,Quercus cedrosensis,-116.824893,32.534573
SEINET,Quercus cedrosensis,-116.81667,31.98333
SEINET,Quercus cedrosensis,-116.81667,31.98333
SEINET,Quercus cedrosensis,-116.81667,31.98333
GBIF,Quercus cedrosensis,-116.81667,31.98333
GBIF,Quercus cedrosensis,-116.81667,31.98333
GBIF,Quercus cedrosensis,-116.81667,31.98333
GBIF,Quercus cedrosensis,-116.811667,32.745833
SEINET,Quercus cedrosensis,-116.80417,32.56222
GBIF,Quercus cedrosensis,-116.80417,32.56222
GBIF,Quercus cedrosensis,-116.80417,32.56222
GBIF,Quercus cedrosensis,-116.798,32.564
GBIF,Quercus cedrosensis,-116.7976,32.56426
SEINET,Quercus cedrosensis,-116.797598,32.564255
GBIF,Quercus cedrosensis,-116.797598,32.564255
GBIF,Quercus cedrosensis,-116.778378,31.807528
GBIF,Quercus cedrosensis,-116.754284,31.806908
GBIF,Quercus cedrosensis,-116.751428,31.926619
SEINET,Quercus cedrosensis,-116.72778,32.57222
GBIF,Quercus cedrosensis,-116.72778,32.57222
GBIF,Quercus cedrosensis,-116.727778,32.572222
GBIF,Quercus cedrosensis,-116.727778,32.572222
GBIF,Quercus cedrosensis  C.H. Mull.,-116.727778,32.572222
SEINET,Quercus cedrosensis,-116.7277778,32.5722222
GBIF,Quercus cedrosensis,-116.72682,32.57231
GBIF,Quercus cedrosensis,-116.725648,31.852209
SEINET,Quercus cedrosensis,-116.72556,32.57167
GBIF,Quercus cedrosensis,-116.72556,32.57167
GBIF,Quercus cedrosensis,-116.72556,32.57167
GBIF,Quercus cedrosensis,-116.725556,32.571667
GBIF,Quercus cedrosensis,-116.725556,32.571667
GBIF,Quercus cedrosensis,-116.725556,32.571667
SEINET,Quercus cedrosensis,-116.7255556,32.5716667
SEINET,Quercus cedrosensis,-116.7255556,32.5716667
GBIF,Quercus cedrosensis,-116.718477,31.937646
GBIF,Quercus cedrosensis,-116.716667,32.566667
SEINET,Quercus cedrosensis,-116.7166667,32.5666667
SEINET,Quercus cedrosensis,-116.71417,32.57667
GBIF,Quercus cedrosensis,-116.71417,32.57667
GBIF,Quercus cedrosensis,-116.704946,31.810922
GBIF,Quercus cedrosensis,-116.676991,31.925481
GBIF,Quercus cedrosensis,-116.669326,31.868526
GBIF,Quercus cedrosensis,-116.6583,31.95833
SEINET,Quercus cedrosensis,-116.6333333,31.9666667
GBIF,Quercus cedrosensis,-116.633333,31.966667
GBIF,Quercus cedrosensis,-116.633,31.9667
SEINET,Quercus cedrosensis,-116.616667,32.483333
GBIF,Quercus cedrosensis,-116.602771,31.930631
SEINET,Quercus cedrosensis,-116.6,31.9333333
GBIF,Quercus cedrosensis,-116.6,31.95417
GBIF,Quercus cedrosensis,-116.6,31.93333
GBIF,Quercus cedrosensis,-116.6,31.95833
GBIF,Quercus cedrosensis,-116.6,31.933333
GBIF,Quercus cedrosensis,-116.58757,31.97885
GBIF,Quercus cedrosensis,-116.55878,31.922031
GBIF,Quercus cedrosensis,-116.555401,31.821506
GBIF,Quercus cedrosensis,-116.552352,31.951788
GBIF,Quercus cedrosensis,-116.550159,31.884299
GBIF,Quercus cedrosensis  C.H. Mull.,-116.533333,31.566667
GBIF,Quercus cedrosensis  C.H. Mull.,-116.533333,31.566667
GBIF,Quercus cedrosensis  C.H. Mull.,-116.533333,31.566667
GBIF,Quercus cedrosensis  C.H. Mull.,-116.533333,31.566667
GBIF,Quercus cedrosensis  C.H. Mull.,-116.533333,31.566667
GBIF,Quercus cedrosensis  C.H. Mull.,-116.533333,31.566667
GBIF,Quercus cedrosensis,-116.53333,31.58333
GBIF,Quercus cedrosensis,-116.525645,31.867917
GBIF,Quercus cedrosensis,-116.515538,31.816944
GBIF,Quercus cedrosensis,-116.51445,31.954324
GBIF,Quercus cedrosensis,-116.510626,31.970999
GBIF,Quercus cedrosensis,-116.510463,31.973016
GBIF,Quercus cedrosensis,-116.510108,31.979057
GBIF,Quercus cedrosensis,-116.508922,31.825884
GBIF,Quercus cedrosensis,-116.506156,31.85231
GBIF,Quercus cedrosensis,-116.50493,31.78722
GBIF,Quercus cedrosensis,-116.504809,31.898119
GBIF,Quercus cedrosensis,-116.50425,31.812336
GBIF,Quercus cedrosensis,-116.502683,31.91497
SEINET,Quercus cedrosensis,-116.5,31.5833333
GBIF,Quercus cedrosensis,-116.5,31.583333
GBIF,Quercus cedrosensis  C.H. Mull.,-116.5,31.566667
GBIF,Quercus cedrosensis,-116.478886,31.847528
GBIF,Quercus cedrosensis,-116.470113,31.811999
GBIF,Quercus cedrosensis,-116.443106,31.812738
GBIF,Quercus cedrosensis,-116.437001,31.943262
GBIF,Quercus cedrosensis,-116.425345,31.860879
GBIF,Quercus cedrosensis,-116.416667,31.333333
SEINET,Quercus cedrosensis,-116.4166667,31.3333333
SEINET,Quercus cedrosensis,-116.407,31.33469
GBIF,Quercus cedrosensis,-116.407,31.33469
GBIF,Quercus cedrosensis,-116.40694,31.33472
GBIF,Quercus cedrosensis,-116.406378,31.891401
GBIF,Quercus cedrosensis,-116.403193,31.979191
GBIF,Quercus cedrosensis,-116.343333,31.291944
SEINET,Quercus cedrosensis,-116.3333333,31.31666667
SEINET,Quercus cedrosensis,-116.3333333,31.3166667
SEINET,Quercus cedrosensis,-116.3333333,31.3166667
GBIF,Quercus cedrosensis,-116.333333,31.316667
GBIF,Quercus cedrosensis,-116.333333,31.316667
GBIF,Quercus cedrosensis,-116.333333,31.316667
GBIF,Quercus cedrosensis C.H. MÃ¼ll.,-116.333332,31.316665
SEINET,Quercus cedrosensis,-116.33333,31.31667
GBIF,Quercus cedrosensis,-116.33333,31.24167
GBIF,Quercus cedrosensis,-116.33333,31.28333
GBIF,Quercus cedrosensis,-116.33333,31.31667
GBIF,Quercus cedrosensis,-116.33316,31.29305
SEINET,Quercus cedrosensis,-116.3328,31.2956
GBIF,Quercus cedrosensis C.H.Müll.,-116.3328,31.2956
SEINET,Quercus cedrosensis,-116.33215,31.2758
SEINET,Quercus cedrosensis,-116.33215,31.2758
GBIF,Quercus cedrosensis,-116.33215,31.2758
GBIF,Quercus cedrosensis,-116.33215,31.2758
SEINET,Quercus cedrosensis,-116.32,31.29
GBIF,Quercus cedrosensis,-116.32,31.29
GBIF,Quercus cedrosensis,-116.32,31.29
GBIF,Quercus cedrosensis,-116.32,31.3
SEINET,Quercus cedrosensis,-116.3167,31.3
GBIF,Quercus cedrosensis,-116.3167,31.3
GBIF,Quercus cedrosensis,-116.31667,31.3
GBIF,Quercus cedrosensis,-116.316667,31.3
SEINET,Quercus cedrosensis,-116.3166667,31.3
GBIF,Quercus cedrosensis,-116.30833,31.25833
GBIF,Quercus cedrosensis,-116.230428,31.282746
SEINET,Quercus cedrosensis,-116.216667,31.883333
GBIF,Quercus cedrosensis,-116.208482,31.232512
SEINET,Quercus cedrosensis,-116.170597,31.237533
GBIF,Quercus cedrosensis,-115.85,32.1
GBIF,Quercus cedrosensis,-115.75,30.49583
GBIF,Quercus cedrosensis,-115.68333,30.96667
GBIF,Quercus cedrosensis,-115.67046,30.87097
GBIF,Quercus cedrosensis,-115.65967,30.36352
SEINET,Quercus cedrosensis,-115.65,30.8833333
GBIF,Quercus cedrosensis,-115.65,30.883333
GBIF,Quercus cedrosensis  C.H. Mull.,-115.65,30.883333
GBIF,Quercus cedrosensis C.H. Mull.,-115.65,30.883333
GBIF,Quercus cedrosensis,-115.64178,30.90384
GBIF,Quercus cedrosensis,-115.56094,30.17965
GBIF,Quercus cedrosensis,-115.51667,30.76667
GBIF,Quercus cedrosensis,-115.5,30.78333
GBIF,Quercus cedrosensis  C.H. Mull.,-115.5,30.783333
GBIF,Quercus cedrosensis,-115.48333,30.75
SEINET,Quercus cedrosensis,-115.25,28.2167
SEINET,Quercus cedrosensis,-115.25,28.216667
SEINET,Quercus cedrosensis,-115.25,28.216667
GBIF,Quercus cedrosensis,-115.25,28.21667
GBIF,Quercus cedrosensis,-115.25,28.2167
SEINET,Quercus cedrosensis,-115.2445,28.12256
GBIF,Quercus cedrosensis,-115.2445,28.1226
SEINET,Quercus cedrosensis,-115.2383,28.1235
GBIF,Quercus cedrosensis,-115.2383,28.1235
GBIF,Quercus cedrosensis C.H. Mull.,-115.233333,28.133333
GBIF,Quercus cedrosensis,-115.233,28.1612
GBIF,Quercus cedrosensis,-115.233,28.1612
SEINET,Quercus cedrosensis,-115.2256,28.12599
GBIF,Quercus cedrosensis,-115.2256,28.12599
SEINET,Quercus cedrosensis,-115.2242,28.137205
SEINET,Quercus cedrosensis,-115.2242,28.137205
GBIF,Quercus cedrosensis,-115.2242,28.137205
GBIF,Quercus cedrosensis,-115.2242,28.137205
GBIF,Quercus cedrosensis,-115.22259,28.35081
GBIF,Quercus cedrosensis,-115.2215,28.1315
GBIF,Quercus cedrosensis,-115.22118,28.12899
SEINET,Quercus cedrosensis,-115.2205,28.1295
GBIF,Quercus cedrosensis,-115.2205,28.1295
GBIF,Quercus cedrosensis,-115.2186,28.1692
SEINET,Quercus cedrosensis,-115.21795,28.34499
GBIF,Quercus cedrosensis,-115.21795,28.34499
SEINET,Quercus cedrosensis,-115.217,28.3518
SEINET,Quercus cedrosensis,-115.217,28.3518
GBIF,Quercus cedrosensis,-115.217,28.3542
GBIF,Quercus cedrosensis,-115.217,28.3518
GBIF,Quercus cedrosensis,-115.217,28.3518
SEINET,Quercus cedrosensis,-115.21667,28.35
GBIF,Quercus cedrosensis,-115.21667,28.1375
GBIF,Quercus cedrosensis,-115.21667,28.35
GBIF,Quercus cedrosensis,-115.21667,28.35
GBIF,Quercus cedrosensis,-115.216667,28.35
SEINET,Quercus cedrosensis,-115.2166667,28.35
GBIF,Quercus cedrosensis,-115.21652,28.35179
GBIF,Quercus cedrosensis,-115.2123,28.2866
SEINET,Quercus cedrosensis,-115.2083333,28.2916667
GBIF,Quercus cedrosensis,-115.208333,28.291667
GBIF,Quercus cedrosensis,-115.1944,28.287
SEINET,Quercus cedrosensis,-115.19305,28.1264
GBIF,Quercus cedrosensis,-115.19305,28.1264
SEINET,Quercus cedrosensis,-115.1833333,28.2916667
GBIF,Quercus cedrosensis,-115.183333,28.291667
GBIF,Quercus cedrosensis  C.H. Mull.,-115.183333,28.291667
SEINET,Quercus cedrosensis,-115.18333,28.29167
GBIF,Quercus cedrosensis,-115.18333,28.29167
SEINET,Quercus cedrosensis,-113.916667,28.783333
GBIF,Quercus cedrosensis,-113.916667,28.783333
SEINET,Quercus cedrosensis,-113.783333,28.85
SEINET,Quercus cedrosensis,-113.783333,28.85
SEINET,Quercus cedrosensis,-113.783333,28.85
GBIF,Quercus cedrosensis,-113.783333,28.85
GBIF,Quercus cedrosensis,-113.78333,28.85
SEINET,Quercus cedrosensis,-113.67,28.83
SEINET,Quercus cedrosensis,-113.66667,28.83333
SEINET,Quercus cedrosensis,-113.66667,28.83333
SEINET,Quercus cedrosensis,-113.66667,28.83333
GBIF,Quercus cedrosensis,-113.66667,28.83333
GBIF,Quercus cedrosensis,-113.66667,28.83333
GBIF,Quercus cedrosensis,-113.66667,28.83333
GBIF,Quercus cedrosensis C.H. Muller,-113.666667,28.833333
GBIF,Quercus cedrosensis C.H. Muller,-113.666667,28.833333
SEINET,Quercus cedrosensis,-113.6333333,28.7166667
SEINET,Quercus cedrosensis,-113.633333,28.716667
GBIF,Quercus cedrosensis,-113.633333,28.716667
GBIF,Quercus cedrosensis,-113.633333,28.716667
GBIF,Quercus cedrosensis  C.H. Mull.,-113.633333,28.716667
GBIF,Quercus cedrosensis  C.H. Mull.,-113.633333,28.85
SEINET,Quercus cedrosensis,-113.63333,28.71667
GBIF,Quercus cedrosensis,-113.63333,28.71667
GBIF,Quercus cedrosensis,-113.63,28.72
SEINET,Quercus cedrosensis,-113.625,28.9083333
GBIF,Quercus cedrosensis,-113.625,28.908333
GBIF,Quercus cedrosensis  C.H. Mull.,-113.625,28.908333
SEINET,Quercus cedrosensis,-113.60361,28.73778
SEINET,Quercus cedrosensis,-113.60361,28.73778
SEINET,Quercus cedrosensis,-113.60361,28.73778
GBIF,Quercus cedrosensis,-113.60361,28.73778
GBIF,Quercus cedrosensis,-113.60361,28.73778
GBIF,Quercus cedrosensis,-113.60361,28.73778
GBIF,Quercus cedrosensis,-113.58659,28.90172
GBIF,Quercus cedrosensis,-113.57501,28.7103
GBIF,Quercus cedrosensis,-113.57501,28.7103
GBIF,Quercus cedrosensis,-113.57143,28.82716
GBIF,Quercus cedrosensis,-113.55041,28.68395
GBIF,Quercus cedrosensis  C.H. Mull.,-113,27.516667
GBIF,Quercus cedrosensis  C.H. Mull.,-113,27.516667
