id,decimalLongitude,decimalLatitude
SEINET,-119.7663,34.047
GBIF,-121.763611,38.529444
GBIF,-121.7475,38.537222
GBIF,-120.991667,35.461667
GBIF,-120.177965,34.118901
GBIF,-120.173999,33.904504
GBIF,-120.173982,33.81816
GBIF,-120.167229,33.941535
GBIF,-120.16473,33.806313
GBIF,-120.146778,33.828159
GBIF,-120.145217,33.837741
GBIF,-120.1415,33.953
GBIF,-120.1415,33.953
GBIF,-120.1415,33.953
GBIF,-120.1415,33.953
GBIF,-120.1415,33.953
GBIF,-120.1415,33.953
GBIF,-120.1369,34.10464
GBIF,-120.122942,33.840982
GBIF,-120.1209,33.9109
GBIF,-120.12084,33.899492
GBIF,-120.118614,33.932705
GBIF,-120.118276,33.829495
GBIF,-120.1165,33.9445
GBIF,-120.1165,33.9445
GBIF,-120.111,33.947
GBIF,-120.111,33.947
GBIF,-120.111,33.947
GBIF,-120.111,33.947
GBIF,-120.111,33.947
GBIF,-120.111,33.947
GBIF,-120.111,33.947
GBIF,-120.111,33.947
GBIF,-120.1093,33.9507
GBIF,-120.104,33.957
GBIF,-120.104,33.957
GBIF,-120.104,33.957
GBIF,-120.097096,33.847916
GBIF,-120.097,34.0139
GBIF,-120.0923,34.0098
GBIF,-120.0896,33.9773
GBIF,-120.0818,33.9795
GBIF,-120.078889,33.978611
GBIF,-120.078889,33.978611
GBIF,-120.0788,33.9788
GBIF,-120.078,33.979
GBIF,-120.078,33.979
GBIF,-120.078,33.979
GBIF,-120.078,33.979
GBIF,-120.078,33.979
GBIF,-120.07776,33.809615
GBIF,-120.0775,33.98361
GBIF,-120.07425,34.041472
GBIF,-120.07417,33.9825
GBIF,-120.0735,33.982
GBIF,-120.0735,33.982
GBIF,-120.072,33.981
GBIF,-120.072,33.981
GBIF,-120.071,33.976
GBIF,-120.065,33.99
GBIF,-120.065,33.99
GBIF,-120.065,33.99
GBIF,-120.065,33.99
GBIF,-120.065,33.99
GBIF,-120.065,33.99
GBIF,-120.065,33.99
GBIF,-120.065,33.99
GBIF,-120.065,33.99
GBIF,-120.063,33.996
GBIF,-120.063,33.996
GBIF,-120.0625,33.982
GBIF,-120.056242,33.943946
GBIF,-120.054841,33.809116
GBIF,-120.0513,34.007
GBIF,-120.050278,33.985278
GBIF,-120.05,33.97
GBIF,-120.037002,33.896039
GBIF,-120.026913,33.965277
GBIF,-120.004127,33.805534
GBIF,-119.997986,34.109171
GBIF,-119.964985,34.011449
GBIF,-119.961297,33.938974
GBIF,-119.950491,34.073707
GBIF,-119.922133,34.163016
GBIF,-119.893,34.06
GBIF,-119.873675,34.051722
GBIF,-119.8522,34.0437
GBIF,-119.85219,34.04375
GBIF,-119.8517,34.046
GBIF,-119.8517,34.046
GBIF,-119.85101,34.04301
GBIF,-119.8503,34.0434
GBIF,-119.849,34.065
GBIF,-119.845242,34.41285
GBIF,-119.845242,34.41285
GBIF,-119.845242,34.41285
GBIF,-119.8445,34.0407
GBIF,-119.8445,34.0407
GBIF,-119.8445,34.0407
GBIF,-119.8442,34.0548
GBIF,-119.8442,34.0548
GBIF,-119.8442,34.0548
GBIF,-119.8442,34.0548
GBIF,-119.8442,34.0548
GBIF,-119.8442,34.0548
GBIF,-119.8442,34.0548
GBIF,-119.84301,34.04102
GBIF,-119.8306,34.0579
GBIF,-119.8219,33.9939
GBIF,-119.8194,34.0518
GBIF,-119.8186,34.05
GBIF,-119.8179758,34.05185524
GBIF,-119.817,34.036
GBIF,-119.8157,34.0495
GBIF,-119.81528,34.05167
GBIF,-119.81306,34.01611
GBIF,-119.813,34.0067
GBIF,-119.81015,34.0082
GBIF,-119.8095,34.0081
GBIF,-119.804,34.0165
GBIF,-119.803,34.016
GBIF,-119.8016,34.0153
GBIF,-119.8016,34.0153
GBIF,-119.800155,34.01160651
GBIF,-119.799268,34.113509
GBIF,-119.7987,34.0154
GBIF,-119.7975,34.0154
GBIF,-119.796675,34.01595641
GBIF,-119.794,34.0143
GBIF,-119.7935,34.029
GBIF,-119.7911,34.0145
GBIF,-119.790815,34.02942607
GBIF,-119.7906,34.0142
GBIF,-119.79016,34.01425
GBIF,-119.79,34.01
GBIF,-119.789883,34.150772
GBIF,-119.789,34.0145
GBIF,-119.789,34.0145
GBIF,-119.789,34.0145
GBIF,-119.788856,34.184671
GBIF,-119.788,34.007
GBIF,-119.788,34.0095
GBIF,-119.7865,34.0554
GBIF,-119.7844,34.02923
GBIF,-119.7844,34.02923
GBIF,-119.7843,34.029
GBIF,-119.771088,34.016528
GBIF,-119.771088,34.016528
GBIF,-119.771088,34.016528
GBIF,-119.771088,34.016528
GBIF,-119.771088,34.016528
SEINET,-119.7663,34.047
GBIF,-119.7663,34.047
GBIF,-119.766,34.0535
GBIF,-119.755428,34.004772
GBIF,-119.755428,34.004772
GBIF,-119.75138,37.25027
GBIF,-119.75,34.005
GBIF,-119.746667,34.004444
GBIF,-119.74398,34.0134
GBIF,-119.74398,34.0134
GBIF,-119.74398,34.0134
GBIF,-119.74389,34.00194
GBIF,-119.7427,34.4516
GBIF,-119.7417,33.98
GBIF,-119.7417,33.98
GBIF,-119.740771,34.093887
GBIF,-119.7385,33.987
GBIF,-119.73,34.01
GBIF,-119.73,34.01
GBIF,-119.7284,34.0196
GBIF,-119.725741,34.011523
GBIF,-119.7155,33.9965
GBIF,-119.7111,34.4563
GBIF,-119.7106,34.4563
GBIF,-119.710031,34.456541
GBIF,-119.7097,34.4584
GBIF,-119.7094,34.4564
GBIF,-119.709059,34.406444
GBIF,-119.70905,34.4553
GBIF,-119.702673,34.03195663
GBIF,-119.702,34.032
GBIF,-119.702,34.032
GBIF,-119.7004,34.0305
GBIF,-119.7003,34.01722
GBIF,-119.69965,34.007497
GBIF,-119.69965,34.007497
GBIF,-119.697136,34.022064
GBIF,-119.69558,34.02658
GBIF,-119.6955,34.0258
GBIF,-119.6955,34.0258
GBIF,-119.6955,34.0258
GBIF,-119.6955,34.0258
GBIF,-119.695,34.023
GBIF,-119.627,33.996
GBIF,-119.625311,34.187401
GBIF,-119.616269,34.013408
GBIF,-119.612474,34.122762
GBIF,-119.612,34.004
GBIF,-119.605,34.015
GBIF,-119.605,34.015
GBIF,-119.6033104,33.99773832
GBIF,-119.6033104,33.99773832
GBIF,-119.603,34.04
GBIF,-119.6004,34.0128
GBIF,-119.5977,34.012
GBIF,-119.59504,34.01215
GBIF,-119.5853,34.022
GBIF,-119.5825,34.0117
GBIF,-119.55729,34.106633
GBIF,-119.553989,34.047903
GBIF,-119.434,34.0128
GBIF,-119.434,34.0128
GBIF,-119.4291667,34.01205916
GBIF,-119.429,34.012
GBIF,-119.4288,34.0126
GBIF,-119.4287,34.0134
GBIF,-119.4287,34.0134
GBIF,-119.4273666,34.01375912
GBIF,-119.4267,34.0137
GBIF,-119.4267,34.0137
GBIF,-119.4266,34.0123
GBIF,-119.4266,34.0123
GBIF,-119.426,34.011
GBIF,-119.426,34.011
GBIF,-119.426,34.011
GBIF,-119.426,34.011
GBIF,-119.42556,34.01333
GBIF,-119.4245,34.01
GBIF,-119.418,34.008
GBIF,-119.392,34.005
GBIF,-119.392,34.005
GBIF,-119,37
GBIF,-119,37
GBIF,-118.8328,33.3446
GBIF,-118.523548,33.463189
GBIF,-118.5047,32.9302
GBIF,-118.5047,32.9302
GBIF,-118.5047,32.9309
GBIF,-118.50361,32.93028
GBIF,-118.50306,32.93167
GBIF,-118.50306,32.93167
GBIF,-118.50306,32.93167
GBIF,-118.503056,32.931667
GBIF,-118.503056,32.931667
GBIF,-118.501645,32.931911
GBIF,-118.50164,32.93191
GBIF,-118.50164,32.93191
GBIF,-118.500935,32.9343972
GBIF,-118.500935,32.9343972
GBIF,-118.5009,32.9001
GBIF,-118.500735,32.9346972
GBIF,-118.49998,32.90785
GBIF,-118.499976,32.907855
GBIF,-118.499497,32.909619
GBIF,-118.49611,32.90219
GBIF,-118.48878,32.91831
GBIF,-118.488776,32.918309
GBIF,-118.4882,32.9164
GBIF,-118.4882,32.9164
GBIF,-118.4864,32.9177
GBIF,-118.481224,32.914368
GBIF,-118.4715,32.9047
GBIF,-118.4715,32.9055
GBIF,-118.47099,32.90552
GBIF,-118.46817,32.86459
GBIF,-118.4595336,32.88619894
GBIF,-118.4595336,32.88619894
GBIF,-118.4595336,32.88619894
GBIF,-118.45758,32.8835
GBIF,-118.457578,32.8835
GBIF,-118.457578,32.8835
GBIF,-118.457578,32.8835
GBIF,-118.4573,32.8773
GBIF,-118.4556,33.3937
GBIF,-118.450138,32.852243
GBIF,-118.446683,32.85796
GBIF,-118.444867,32.881427
GBIF,-118.4447,32.8809
GBIF,-118.4447,32.8809
GBIF,-118.4447,32.8809
GBIF,-118.4447,32.8809
GBIF,-118.4447,32.8809
GBIF,-118.4447,32.8809
GBIF,-118.4447,32.8809
GBIF,-118.4447,32.8809
GBIF,-118.4447,32.8809
GBIF,-118.4447,32.8809
GBIF,-118.4447,32.8809
GBIF,-118.4447,32.8809
GBIF,-118.4447,32.8809
GBIF,-118.4447,32.8809
GBIF,-118.4447,32.8809
GBIF,-118.4437,32.8889
GBIF,-118.4434,32.8803
GBIF,-118.44014,32.87714
GBIF,-118.43767,32.87794
GBIF,-118.437225,32.882217
GBIF,-118.437225,32.882217
GBIF,-118.435623,32.877571
GBIF,-118.435608,32.877617
GBIF,-118.435515,32.87777
GBIF,-118.435483,32.877721
GBIF,-118.435423,32.877358
GBIF,-118.435394,32.877853
GBIF,-118.435364,32.877354
GBIF,-118.435257,32.877655
GBIF,-118.435232,32.877815
GBIF,-118.435206,32.87752
GBIF,-118.435177,32.877324
GBIF,-118.435127,32.877792
GBIF,-118.434772,32.876993
GBIF,-118.434694,32.877058
GBIF,-118.434606,32.876876
GBIF,-118.434583,32.877785
GBIF,-118.434571,32.876984
GBIF,-118.434213,32.879243
GBIF,-118.43391,32.86934
GBIF,-118.4301,32.8683
GBIF,-118.4301,32.8689
GBIF,-118.429919,32.875922
GBIF,-118.429613,33.377846
GBIF,-118.4291,33.3733
GBIF,-118.4291,33.3733
GBIF,-118.427999,33.374095
GBIF,-118.427811,33.357954
GBIF,-118.427811,33.357954
GBIF,-118.427811,33.357954
GBIF,-118.42745,32.874336
GBIF,-118.42745,32.874336
GBIF,-118.42744,32.87433
GBIF,-118.42744,32.87433
GBIF,-118.426781,33.373044
GBIF,-118.426781,33.373044
GBIF,-118.426429,32.840314
GBIF,-118.424721,33.373832
GBIF,-118.424721,33.373832
GBIF,-118.424721,33.373832
GBIF,-118.423176,33.367309
GBIF,-118.423176,33.367309
GBIF,-118.423176,33.367309
GBIF,-118.421287,33.366592
GBIF,-118.421287,33.366592
GBIF,-118.42,33.35
GBIF,-118.4198,33.3714
GBIF,-118.417768,33.360929
GBIF,-118.417456,33.361833
GBIF,-118.417211,33.374806
GBIF,-118.41631,33.388291
GBIF,-118.41631,33.38789
GBIF,-118.41631,33.38789
GBIF,-118.41631,33.38789
GBIF,-118.41631,33.38789
GBIF,-118.4142,33.3633
GBIF,-118.4142,33.3633
GBIF,-118.4142,33.3633
GBIF,-118.4142,33.3633
GBIF,-118.4142,33.3633
GBIF,-118.4142,33.3633
GBIF,-118.4142,33.3633
GBIF,-118.4142,33.3633
GBIF,-118.4142,33.3633
GBIF,-118.4142,33.3633
GBIF,-118.412404,33.363653
GBIF,-118.4124,33.36365
GBIF,-118.4059371,33.37248482
GBIF,-118.36111,33.3575
GBIF,-118.360691,33.361718
GBIF,-118.359833,33.357847
GBIF,-118.359206,33.373347
GBIF,-118.358415,33.357901
GBIF,-118.35773,33.356341
GBIF,-118.357344,33.356198
GBIF,-118.357344,33.356198
GBIF,-118.35567,33.36351
GBIF,-118.35567,33.36351
GBIF,-118.35567,33.36351
GBIF,-118.355241,33.358133
GBIF,-118.355112,33.364298
GBIF,-118.355,33.36417
GBIF,-118.354918,33.365382
GBIF,-118.3539,33.3748
GBIF,-118.353395,33.365732
GBIF,-118.352792,33.364789
GBIF,-118.35258,33.366091
GBIF,-118.35258,33.366091
GBIF,-118.35258,33.366091
GBIF,-118.352194,33.366521
GBIF,-118.352194,33.366521
GBIF,-118.352194,33.366521
GBIF,-118.352194,33.366521
GBIF,-118.352194,33.366521
GBIF,-118.3496357,33.36698537
GBIF,-118.3496357,33.36698537
GBIF,-118.3496357,33.36698537
GBIF,-118.3496357,33.36698537
GBIF,-118.349275,33.367381
GBIF,-118.349275,33.367381
GBIF,-118.349275,33.367453
GBIF,-118.32932,33.332464
GBIF,-118.322743,29.083988
GBIF,-118.32,29.03
GBIF,-118.31806,29.15944
GBIF,-118.31806,29.15944
GBIF,-118.318056,29.159444
GBIF,-118.31805,29.1594
GBIF,-118.31696,29.15809
GBIF,-118.31696,29.15809
GBIF,-118.31667,29.1
GBIF,-118.31666,33.3
GBIF,-118.314085,33.328556
GBIF,-118.314,33.33
GBIF,-118.314,33.33
GBIF,-118.314,33.33
GBIF,-118.313913,33.327086
GBIF,-118.313913,33.327086
GBIF,-118.3136,33.3297
GBIF,-118.31357,33.329739
GBIF,-118.31357,33.32974
GBIF,-118.31357,33.329739
GBIF,-118.31357,33.329739
GBIF,-118.313484,33.327158
GBIF,-118.313422,33.332833
GBIF,-118.313422,33.332833
GBIF,-118.312755,33.330708
GBIF,-118.3125,29.14583
GBIF,-118.3125,29.14583
GBIF,-118.3125,29.14583
GBIF,-118.3125,29.14583
GBIF,-118.3125,29.14583
GBIF,-118.3125,29.145833
GBIF,-118.3125,29.15
GBIF,-118.3125,29.166667
GBIF,-118.3125,29.1667
GBIF,-118.3125,29.15
GBIF,-118.312454,33.330708
GBIF,-118.312368,33.330887
GBIF,-118.312368,33.330887
GBIF,-118.312,29.1458
GBIF,-118.30623,29.09229
GBIF,-118.30623,29.09229
GBIF,-118.30417,29.1
GBIF,-118.304167,29.1
GBIF,-118.304167,29.1
GBIF,-118.3,29.13333
GBIF,-118.3,29.17083
GBIF,-118.2998,29.15965
GBIF,-118.298266,29.029203
GBIF,-118.293333,29.168333
GBIF,-118.29167,29.175
GBIF,-118.291667,29.175
GBIF,-118.291667,29.175
GBIF,-118.288,29.175
GBIF,-118.28783,29.058207
GBIF,-118.28748,29.10243
GBIF,-118.28748,29.10243
GBIF,-118.28748,29.10243
GBIF,-118.28457,29.02548
GBIF,-118.28457,29.02548
GBIF,-118.283405,29.144304
GBIF,-118.283333,29.1
GBIF,-118.283333,29.1125
GBIF,-118.283333,29.1125
GBIF,-118.283333,29.1125
GBIF,-118.283333,29.1125
GBIF,-118.28333,29
GBIF,-118.28333,29.16667
GBIF,-118.28333,29.16667
GBIF,-118.28333,29.175
GBIF,-118.27917,28.97916
GBIF,-118.279167,28.979167
GBIF,-118.2708,29.0244
GBIF,-118.266667,29.02
GBIF,-118.243832,29.016111
GBIF,-118.14167,29.14583
GBIF,-118.141667,29.145833
GBIF,-116.5481,33.0695
GBIF,-116.3125,29.145833
GBIF,-116.3125,29.145833
GBIF,-116.3125,29.145833
GBIF,-116.3125,29.145833
GBIF,-116.3125,29.145833
